item_id,timestamp,target_value,location
1,2021-10-04 04:00:00,528.148,13.066_80.268
1,2021-10-04 04:15:00,486.397,13.066_80.268
1,2021-10-04 04:30:00,470.676,13.066_80.268
1,2021-10-04 04:45:00,494.64,13.066_80.268
1,2021-10-04 05:00:00,521.628,13.066_80.268
1,2021-10-04 05:15:00,461.914,13.066_80.268
1,2021-10-04 05:30:00,409.348,13.066_80.268
1,2021-10-04 05:45:00,536.267,13.066_80.268
1,2021-10-04 06:00:00,553.897,13.066_80.268
1,2021-10-04 06:15:00,510.291,13.066_80.268
1,2021-10-04 06:30:00,516.389,13.066_80.268
1,2021-10-04 06:45:00,533.249,13.066_80.268
1,2021-10-04 07:00:00,529.42,13.066_80.268
1,2021-10-04 07:15:00,495.539,13.066_80.268
1,2021-10-04 07:30:00,459.224,13.066_80.268
1,2021-10-04 07:45:00,469.443,13.066_80.268
1,2021-10-04 08:00:00,448.55,13.066_80.268
1,2021-10-04 08:15:00,498.169,13.066_80.268
1,2021-10-04 08:30:00,464.808,13.066_80.268
1,2021-10-04 08:45:00,534.926,13.066_80.268
1,2021-10-04 09:00:00,529.123,13.066_80.268
1,2021-10-04 09:15:00,498.662,13.066_80.268
1,2021-10-04 09:30:00,493.946,13.066_80.268
1,2021-10-04 09:45:00,527.07,13.066_80.268
1,2021-10-04 10:00:00,546.014,13.066_80.268
1,2021-10-04 10:15:00,450.888,13.066_80.268
1,2021-10-04 10:30:00,397.733,13.066_80.268
1,2021-10-04 10:45:00,410.555,13.066_80.268
1,2021-10-04 11:00:00,390.443,13.066_80.268
1,2021-10-04 11:15:00,402.455,13.066_80.268
1,2021-10-04 11:30:00,343.306,13.066_80.268
1,2021-10-04 11:45:00,390.272,13.066_80.268
1,2021-10-04 12:00:00,408.047,13.066_80.268
1,2021-10-04 12:15:00,381.092,13.066_80.268
1,2021-10-04 12:30:00,357.148,13.066_80.268
1,2021-10-04 12:45:00,400.706,13.066_80.268
1,2021-10-04 13:00:00,380.729,13.066_80.268
1,2021-10-04 13:15:00,347.224,13.066_80.268
1,2021-10-04 13:30:00,359.114,13.066_80.268
1,2021-10-04 13:45:00,378.826,13.066_80.268
1,2021-10-04 14:00:00,386.059,13.066_80.268
1,2021-10-04 14:15:00,339.012,13.066_80.268
1,2021-10-04 14:30:00,321.262,13.066_80.268
1,2021-10-04 14:45:00,357.721,13.066_80.268
1,2021-10-04 15:00:00,358.7,13.066_80.268
1,2021-10-04 15:15:00,171.167,13.066_80.268
1,2021-10-04 15:30:00,163.6,13.066_80.268
1,2021-10-04 15:45:00,242.769,13.066_80.268
1,2021-10-04 16:00:00,422.538,13.066_80.268
1,2021-10-04 16:15:00,346.207,13.066_80.268
1,2021-10-04 16:30:00,334.516,13.066_80.268
1,2021-10-04 16:45:00,393.369,13.066_80.268
1,2021-10-04 17:00:00,358.101,13.066_80.268
1,2021-10-04 17:15:00,305.168,13.066_80.268
1,2021-10-04 17:30:00,292.461,13.066_80.268
1,2021-10-04 17:45:00,377.438,13.066_80.268
1,2021-10-04 18:00:00,369.635,13.066_80.268
1,2021-10-04 18:15:00,350.933,13.066_80.268
1,2021-10-04 18:30:00,311.145,13.066_80.268
1,2021-10-04 18:45:00,351.654,13.066_80.268
1,2021-10-04 19:00:00,344.996,13.066_80.268
1,2021-10-04 19:15:00,337.967,13.066_80.268
1,2021-10-04 19:30:00,302.367,13.066_80.268
1,2021-10-04 19:45:00,333.365,13.066_80.268
1,2021-10-04 20:00:00,362.231,13.066_80.268
1,2021-10-04 20:15:00,351.58,13.066_80.268
1,2021-10-04 20:30:00,325.208,13.066_80.268
1,2021-10-04 20:45:00,385.463,13.066_80.268
1,2021-10-04 21:00:00,348.195,13.066_80.268
1,2021-10-04 21:15:00,335.224,13.066_80.268
1,2021-10-04 21:30:00,316.515,13.066_80.268
1,2021-10-04 21:45:00,350.423,13.066_80.268
1,2021-10-04 22:00:00,360.575,13.066_80.268
1,2021-10-04 22:15:00,348.035,13.066_80.268
1,2021-10-04 22:30:00,329.84,13.066_80.268
1,2021-10-04 22:45:00,379.129,13.066_80.268
1,2021-10-04 23:00:00,389.713,13.066_80.268
1,2021-10-04 23:15:00,330.864,13.066_80.268
1,2021-10-04 23:30:00,347.767,13.066_80.268
1,2021-10-04 23:45:00,484.922,13.066_80.268
1,2021-10-05 00:00:00,472.82,13.066_80.268
1,2021-10-06 00:15:00,473.808,13.066_80.268
1,2021-10-06 00:30:00,517.08,13.066_80.268
1,2021-10-05 00:15:00,431.7,13.066_80.268
1,2021-10-05 00:30:00,444.473,13.066_80.268
1,2021-10-05 00:45:00,484.409,13.066_80.268
1,2021-10-05 01:00:00,541.882,13.066_80.268
1,2021-10-05 01:15:00,519.305,13.066_80.268
1,2021-10-05 01:30:00,497.361,13.066_80.268
1,2021-10-05 01:45:00,527.409,13.066_80.268
1,2021-10-05 02:00:00,526.626,13.066_80.268
1,2021-10-05 02:15:00,507.891,13.066_80.268
1,2021-10-05 02:30:00,488.596,13.066_80.268
1,2021-10-05 02:45:00,521.086,13.066_80.268
1,2021-10-05 03:00:00,509.784,13.066_80.268
1,2021-10-05 03:15:00,488.366,13.066_80.268
1,2021-10-05 03:30:00,471.876,13.066_80.268
1,2021-10-05 03:45:00,454.66,13.066_80.268
1,2021-10-05 04:00:00,466.775,13.066_80.268
1,2021-10-05 04:15:00,501.273,13.066_80.268
1,2021-10-05 04:30:00,477.663,13.066_80.268
1,2021-10-05 04:45:00,533.222,13.066_80.268
1,2021-10-05 05:00:00,523.497,13.066_80.268
1,2021-10-05 05:15:00,453.665,13.066_80.268
1,2021-10-05 05:30:00,444.774,13.066_80.268
1,2021-10-05 05:45:00,555.961,13.066_80.268
1,2021-10-05 06:00:00,536.984,13.066_80.268
1,2021-10-05 06:15:00,515.377,13.066_80.268
1,2021-10-05 06:30:00,506.437,13.066_80.268
1,2021-10-05 06:45:00,515.708,13.066_80.268
1,2021-10-05 07:00:00,503.623,13.066_80.268
1,2021-10-05 07:15:00,515.949,13.066_80.268
1,2021-10-05 07:30:00,520.217,13.066_80.268
1,2021-10-05 07:45:00,557.327,13.066_80.268
1,2021-10-05 08:00:00,571.035,13.066_80.268
1,2021-10-05 08:15:00,530.995,13.066_80.268
1,2021-10-05 08:30:00,430.912,13.066_80.268
1,2021-10-05 08:45:00,393.115,13.066_80.268
1,2021-10-05 09:00:00,396.21,13.066_80.268
1,2021-10-05 09:15:00,411.758,13.066_80.268
1,2021-10-05 09:30:00,377.056,13.066_80.268
1,2021-10-05 09:45:00,429.63,13.066_80.268
1,2021-10-05 10:00:00,425.469,13.066_80.268
1,2021-10-05 10:15:00,416.534,13.066_80.268
1,2021-10-05 10:30:00,368.269,13.066_80.268
1,2021-10-05 10:45:00,401.915,13.066_80.268
1,2021-10-05 11:00:00,393.029,13.066_80.268
1,2021-10-05 11:15:00,390.678,13.066_80.268
1,2021-10-05 11:30:00,367.323,13.066_80.268
1,2021-10-05 11:45:00,391.545,13.066_80.268
